District,Case Rate
Dhaka,0.00821519
Chattogram,0.005982877
Gazipur,0.00287339
Narayanganj,0.001931511
Faridpur,0.001132364
Cox's Bazar,0.000845919
Jashore,0.000757596
Narsingdi,0.000678927
Madaripur,0.000655979
Barishal,0.000622701
Naogaon,0.000586138
Mymensing,0.000579235
Noakhali,0.000577361
Lakshmipur,0.000571404
Bogura,0.000548248
Sylhet,0.000506738
Joypurhat,0.000503256
Bandarban,0.000499103
Khulna,0.00047219
Kishoreganj,0.000469646
Shariatpur,0.000395069
Chandpur,0.000338718
Rajbari,0.000338229
Munshiganj,0.000336499
Sunamganj,0.000327042
Feni,0.000299953
Dinajpur,0.000275852
Kushtia,0.000266761
Moulvibazar,0.00026524
Rangpur,0.000258699
Manikganj,0.00025474
Gopalganj,0.000252197
Barguna,0.000245733
Habiganj,0.000238495
Brahmmanbaria,0.000223369
Netrokona,0.00021074
Rajshahi,0.000194054
Cumilla,0.000191681
Jamalpur,0.000176649
Jhenaidah,0.000170523
Rangamati,0.000163235
Sherpur,0.000162884
Nilphamari,0.000162016
Pabna,0.000156823
Bhola,0.000151017
Pirojpur,0.000140137
Tangail,0.000137228
Thakurgaon,0.000126782
Patuakhali,0.000125166
Panchagarh,0.000117374
Bagerhat,0.000116213
Sirajganj,0.000107914
Jhalakhati,9.95603E-05
Natore,8.59823E-05
Meherpur,8.45291E-05
Khagrachhari,8.17953E-05
Satkhira,7.7294E-05
Magura,6.50754E-05
Lalmonirhat,6.35578E-05
Kurigram,6.2271E-05
Narail,4.09037E-05
Gaibandha,3.9346E-05
Chuadanga,3.36176E-05
Chapai Nawabganj,1.18286E-05
